"x","sin(x)"
0.000000, 0.000000
0.062832,0.062791
0.125664,0.125333
0.188496,0.187381
0.251327,0.248690
0.314159,0.309017
0.376991,0.368125
0.439823,0.425779
0.502655,0.481754
0.565487,0.535827
0.628319,0.587785
0.691150,0.637424
0.753982,0.684547
0.816814,0.728969
0.879646,0.770513
0.942478,0.809017
1.005310,0.844328
1.068142,0.876307
1.130973,0.904827
1.193805,0.929776
1.256637,0.951057
1.319469,0.968583
1.382301,0.982287
1.445133,0.992115
1.507964,0.998027
1.570796,1.000000
1.633628,0.998027
1.696460,0.992115
1.759292,0.982287
1.822124,0.968583
1.884956,0.951057
1.947787,0.929776
2.010619,0.904827
2.073451,0.876307
2.136283,0.844328
2.199115,0.809017
2.261947,0.770513
2.324779,0.728969
2.387610,0.684547
2.450442,0.637424
2.513274,0.587785
2.576106,0.535827
2.638938,0.481754
2.701770,0.425779
2.764602,0.368125
2.827433,0.309017
2.890265,0.248690
2.953097,0.187381
3.015929,0.125333
3.078761,0.062791
3.141593,-0.000000
3.204425,-0.062791
3.267256,-0.125333
3.330088,-0.187381
3.392920,-0.248690
3.455752,-0.309017
3.518584,-0.368125
3.581416,-0.425779
3.644247,-0.481754
3.707079,-0.535827
3.769911,-0.587785
3.832743,-0.637424
3.895575,-0.684547
3.958407,-0.728969
4.021239,-0.770513
4.084070,-0.809017
4.146902,-0.844328
4.209734,-0.876307
4.272566,-0.904827
4.335398,-0.929776
4.398230,-0.951057
4.461062,-0.968583
4.523893,-0.982287
4.586725,-0.992115
4.649557,-0.998027
4.712389,-1.000000
4.775221,-0.998027
4.838053,-0.992115
4.900885,-0.982287
4.963716,-0.968583
5.026548,-0.951057
5.089380,-0.929776
5.152212,-0.904827
5.215044,-0.876307
5.277876,-0.844328
5.340708,-0.809017
5.403539,-0.770513
5.466371,-0.728969
5.529203,-0.684547
5.592035,-0.637424
5.654867,-0.587785
5.717699,-0.535827
5.780530,-0.481754
5.843362,-0.425779
5.906194,-0.368125
5.969026,-0.309017
6.031858,-0.248690
6.094690,-0.187381
6.157522,-0.125333
6.220353,-0.062791
6.283185, -0.000000
